title,author,is_loaned,copies,genre,year,available_copies,popularity,waiting_list
To Kill a Mockingbird,Harper Lee,Yes,2,Fiction,1960,0,2,
1984,George Orwell,Yes,5,Dystopian,1949,0,5,
Pride and Prejudice,Jane Austen,Yes,3,Romance,1813,0,3,
Crime and Punishment,Fyodor Dostoevsky,Yes,1,Psychological Drama,1866,0,1,
The Divine Comedy,Dante Alighieri,Yes,1,Epic Poetry,1320,0,1,
Anna Karenina,Leo Tolstoy,Yes,2,Fiction,1877,0,2,
The Iliad,Homer,Yes,1,Epic Poetry,-750,0,1,
Invisible Man,Ralph Ellison,Yes,1,Fiction,1952,0,1,
Beloved,Toni Morrison,Yes,3,Historical Fiction,1987,0,3,
Slaughterhouse-Five,Kurt Vonnegut,Yes,2,Science Fiction,1969,0,2,
Heart of Darkness,Joseph Conrad,Yes,3,Adventure,1899,0,3,
Of Mice and Men,John Steinbeck,Yes,1,Tragedy,1937,0,1,
The Hobbit,J.R.R. Tolkien,Yes,4,Fantasy,1937,0,4,
The Lord of the Rings,J.R.R. Tolkien,Yes,2,Fantasy,1954,0,2,
A Game of Thrones,George R.R. Martin,Yes,5,Fantasy,1996,0,5,
Mistborn: The Final Empire,Brandon Sanderson,Yes,4,Fantasy,2006,0,4,
The Odyssey,Homer,No,2,Epic Poetry,-800,1,5,
