title,author,is_loaned,copies,genre,year,available_copies,popularity,waiting_list
The Catcher in the Rye,J.D. Salinger,No,3,Fiction,1951,3,0,
To Kill a Mockingbird,Harper Lee,Yes,2,Fiction,1960,0,2,
1984,George Orwell,Yes,5,Dystopian,1949,0,5,
The Great Gatsby,F. Scott Fitzgerald,No,4,Classic,1925,4,0,
Moby Dick,Herman Melville,No,1,Adventure,1851,1,0,
Pride and Prejudice,Jane Austen,Yes,3,Romance,1813,0,3,
War and Peace,Leo Tolstoy,No,2,Historical Fiction,1869,2,0,
Great Expectations,Charles Dickens,No,3,Classic,1861,3,0,
Crime and Punishment,Fyodor Dostoevsky,Yes,1,Psychological Drama,1866,0,1,
The Brothers Karamazov,Fyodor Dostoevsky,No,3,Philosophy,1880,3,0,
The Divine Comedy,Dante Alighieri,Yes,1,Epic Poetry,1320,0,1,
Jane Eyre,Charlotte Brontë,No,2,Gothic Fiction,1847,2,0,
Wuthering Heights,Emily Brontë,No,4,Gothic Romance,1847,4,0,
Anna Karenina,Leo Tolstoy,Yes,2,Fiction,1877,0,2,
Madame Bovary,Gustave Flaubert,No,3,Realism,1857,3,0,
The Iliad,Homer,Yes,1,Epic Poetry,-750,0,1,
The Sound and the Fury,William Faulkner,No,2,Modernism,1929,2,0,
Invisible Man,Ralph Ellison,Yes,1,Fiction,1952,0,1,
Beloved,Toni Morrison,Yes,3,Historical Fiction,1987,0,3,
Catch-22,Joseph Heller,No,4,Satire,1961,4,0,
Slaughterhouse-Five,Kurt Vonnegut,Yes,2,Science Fiction,1969,0,2,
Brave New World,Aldous Huxley,No,5,Dystopian,1932,5,0,
Heart of Darkness,Joseph Conrad,Yes,3,Adventure,1899,0,3,
The Grapes of Wrath,John Steinbeck,No,2,Fiction,1939,2,0,
Of Mice and Men,John Steinbeck,Yes,1,Tragedy,1937,0,1,
The Old Man and the Sea,Ernest Hemingway,No,3,Fiction,1952,3,0,
The Hobbit,J.R.R. Tolkien,Yes,4,Fantasy,1937,0,4,
The Lord of the Rings,J.R.R. Tolkien,Yes,2,Fantasy,1954,0,2,
Harry Potter and the Philosopher's Stone,J.K. Rowling,No,7,Fantasy,1997,7,0,
A Game of Thrones,George R.R. Martin,Yes,5,Fantasy,1996,0,5,
The Name of the Wind,Patrick Rothfuss,No,3,Fantasy,2007,3,0,
Mistborn: The Final Empire,Brandon Sanderson,Yes,4,Fantasy,2006,0,4,
The Handmaid's Tale,Margaret Atwood,No,3,Dystopian,1985,3,0,
The Odyssey,Homer,No,2,Epic Poetry,-800,1,5,
