title,author,is_loaned,copies,genre,year,available_copies,popularity,waiting_list
The Catcher in the Rye,J.D. Salinger,No,3,Fiction,1951,3,0,
The Great Gatsby,F. Scott Fitzgerald,No,4,Classic,1925,4,0,
Moby Dick,Herman Melville,No,1,Adventure,1851,1,0,
War and Peace,Leo Tolstoy,No,2,Historical Fiction,1869,2,0,
Great Expectations,Charles Dickens,No,3,Classic,1861,3,0,
The Brothers Karamazov,Fyodor Dostoevsky,No,3,Philosophy,1880,3,0,
Jane Eyre,Charlotte Brontë,No,2,Gothic Fiction,1847,2,0,
Wuthering Heights,Emily Brontë,No,4,Gothic Romance,1847,4,0,
Madame Bovary,Gustave Flaubert,No,3,Realism,1857,3,0,
The Sound and the Fury,William Faulkner,No,2,Modernism,1929,2,0,
Catch-22,Joseph Heller,No,4,Satire,1961,4,0,
Brave New World,Aldous Huxley,No,5,Dystopian,1932,5,0,
The Grapes of Wrath,John Steinbeck,No,2,Fiction,1939,2,0,
The Old Man and the Sea,Ernest Hemingway,No,3,Fiction,1952,3,0,
Harry Potter and the Philosopher's Stone,J.K. Rowling,No,7,Fantasy,1997,7,0,
The Name of the Wind,Patrick Rothfuss,No,3,Fantasy,2007,3,0,
The Handmaid's Tale,Margaret Atwood,No,3,Dystopian,1985,3,0,
The Odyssey,Homer,No,2,Epic Poetry,-800,1,5,
